date,full_name,stars,forks,open_issues,created_at,pushed_at,top_contributors
2026-08-30,angular/angular,101010,27436,1153,2014-09-18T16:12:01Z,2026-08-29T01:06:10Z,gkalpak;petebacondarwin;angular-robot;devversion;crisbeto
2026-08-30,spring-projects/spring-boot,81377,42080,498,2012-10-19T15:02:57Z,2026-08-29T05:27:52Z,wilkinsona;snicoll;philwebb;mhalbritter;mbhave
2026-08-30,vercel/next.js,142015,31818,3638,2016-10-05T23:32:51Z,2026-08-30T01:49:36Z,ijjk;timneutkens;sokra;vercel-release-bot;huozhi
2026-08-30,HKUDS/Vibe-Trading,32076,5232,22,2026-04-01T09:52:20Z,2026-08-29T04:59:38Z,warren618;santhreal;shadowinlife;xkam7ar;wiliao
2026-08-30,blader/humanizer,38845,3399,22,2026-01-18T05:30:15Z,2026-08-19T05:58:53Z,blader;mvanhorn;MackDing;marcoenricovd-lang;Kutomore
2026-08-30,herdrdev/herdr,33462,2439,258,2026-03-27T17:54:33Z,2026-08-30T00:03:26Z,ogulcancelik;kangal-bot;akbash-bot;github-actions[bot];Pimpmuckl
2026-08-30,block/buzz,31462,4024,3234,2026-03-06T21:00:56Z,2026-08-30T01:03:46Z,wesbillman;wpfleger96;tlongwell-block;klopez4212;renovate[bot]
2026-08-30,google-antigravity/antigravity-sdk-python,3227,1280,35,2026-04-29T21:12:19Z,2026-08-26T19:04:13Z,karmel;abhipatel12;allenhutchison;kibergus;leehagoodjames
2026-08-30,KKKKhazix/human-writing,3279,255,7,2026-08-05T01:19:41Z,2026-08-11T15:07:45Z,KKKKhazix
2026-08-30,dataelement/dsh-desktop,3240,186,50,2026-08-13T13:45:50Z,2026-08-30T03:07:35Z,wisdomqin;yaojin3616;ba0gu0;SuperstructureJH;AdamPlatin123
2026-08-30,kubernetes/kubernetes,125570,43947,2990,2014-06-06T22:56:04Z,2026-08-28T22:04:04Z,k8s-ci-robot;liggitt;thockin;wojtek-t;brendandburns
2026-08-30,pathwaycom/arc-task-gen,8856,58,1,2026-08-04T12:59:02Z,2026-08-11T09:52:10Z,ludovicPathway
2026-08-30,plannotator/effective-html,2712,191,3,2026-06-09T23:24:51Z,2026-08-03T23:19:04Z,backnotprop;velaswami;jkklee
2026-08-30,MadsLorentzen/ai-job-search,38189,12955,9,2026-03-18T14:33:04Z,2026-08-29T09:20:06Z,MadsLorentzen;ayobamiseun;oscarbol09;LeoWinston-9596;erikpr1994
2026-08-30,mreflow/control-center,137,55,5,2026-08-25T07:34:23Z,2026-08-26T01:12:15Z,mreflow
2026-08-30,abi/screenshot-to-code,76130,9271,131,2023-11-14T17:53:32Z,2026-08-14T17:20:50Z,abi;claude;clean99;sweep-ai-deprecated[bot];kachbit
2026-08-30,holaboss-ai/holaOS,11043,717,6,2026-03-22T07:36:16Z,2026-08-21T13:11:13Z,jeffreyliimerch;jotyy;JeliPenguin;wakqasahmed;dependabot[bot]
2026-08-30,denoland/deno,108342,6360,1542,2018-05-15T01:34:26Z,2026-08-29T19:17:00Z,bartlomieju;dsherret;ry;littledivy;nayeemrmn
2026-08-30,eternityspring/shuohao-skills,2418,304,3,2026-08-06T10:38:49Z,2026-08-26T14:20:50Z,eternityspring;shawncodes9;Aibrother258;zqyhimself
2026-08-30,HKUDS/DeepTutor,37865,4746,125,2025-12-28T15:35:54Z,2026-08-30T05:20:00Z,pancacake;Pinkllow;github-actions[bot];tusharkhatriofficial;scrrlt
2026-08-30,aquasecurity/trivy,37692,640,258,2019-04-11T01:01:07Z,2026-08-28T12:50:22Z,knqyf263;DmitriyLewen;dependabot[bot];nikpivkin;simar7
2026-08-30,MudCosmetologist/Autocad-Software,1197,120,0,2026-06-01T05:44:15Z,2026-08-26T08:16:59Z,MudCosmetologist
2026-08-30,omdsh-dev/DSH-better-sidebar,3106,267,128,2026-08-07T16:04:00Z,2026-08-29T17:01:10Z,Menghuan1918;HuanLinOTO;Zzy-min;yanzhaohui1999;Hoemr
2026-08-30,multica-ai/multica,48250,6202,1419,2026-01-13T17:59:46Z,2026-08-28T10:00:35Z,Bohan-J;NevilleQingNY;forrestchang;ldnvnbl;multica-eve
2026-08-30,agentscope-ai/QwenPaw,34673,3045,894,2026-02-24T03:42:56Z,2026-08-28T17:50:20Z,rayrayraykk;zhaozhuang521;zhijianma;hongxicheng;xieyxclack
2026-08-30,Tianyu199509/DeskBox,2092,129,21,2026-06-11T10:55:22Z,2026-08-29T13:27:35Z,Tianyu199509
2026-08-30,kaifcodec/user-scanner,3730,425,12,2025-10-19T04:21:48Z,2026-08-30T06:06:34Z,kaifcodec;brunolm;VamatoHD;json-hunter07;kristoisberg
